tank_num, date, int_pos,pair_id,status, phase, cond, subject, app_int, app_n, app_p, fsp_int, fsp_n, fsp_p, sb_int, sb_n, sb_p, mwr_p, l_int, l_n
F5A, 2017.04.18,A,1,F, habituation,control, m,8,0,1,3,0,0,4,0,0,0,6.4630,124.66
F5A, 2017.04.18,A,1,F, habituation,control, f,10,0,2,0,0,0,0,0,0,0,19.5750,124.66
F5A, 2017.04.21,A,1,F,experiment,control, nm,0,0,0,0,0,0,0,0,0,0,120.3360,120.336
F5A, 2017.04.21,A,1,F,experiment,control, nf,0,0,0,0,0,0,0,0,0,0,120.3360,120.336
F5A, 2017.04.18,B,1,F, habituation,control, m,28,0,1,0,0,0,0,0,0,0,2.2510,122.056
F5A, 2017.04.18,B,1,F, habituation,control, f,24,0,1,1,0,0,3,0,0,0,2.0560,122.056
F5A, 2017.04.21,B,1,F,experiment,control, nm,1,0,0,4,0,0,0,0,0,0,15.5670,121.153
F5A, 2017.04.21,B,1,F,experiment,control, nf,3,0,0,2,0,0,0,0,0,0,36.3900,121.153
F5B, 2017.04.18,C,1,F, habituation,control, nm,10,0,1,3,0,0,0,0,0,0,9.3490,120.0000
F5B, 2017.04.18,C,1,F, habituation,control, nf,1,0,1,1,0,0,0,0,0,0,12.7410,120.0000
F5B, 2017.04.21,C,1,F,experiment,control, m,12,1,0,0,0,0,0,0,0,0,6.3830,19.813
F5B, 2017.04.21,C,1,F,experiment,control, f,6,0,3,3,0,0,0,0,0,0,14.2890,121.378
F5B, 2017.04.18,D,1,F, habituation,control, nm,0,0,0,1,0,0,0,0,0,0,9.5240,120.0000
F5B, 2017.04.18,D,1,F, habituation,control, nf,7,0,1,0,0,0,0,0,0,0,35.0870,120.0000
F5B, 2017.04.21,D,1,F,experiment,control, m,12,0,2,4,7,0,0,0,0,0,1.2160,15.497
F5B, 2017.04.21,D,1,F,experiment,control, f,9,1,5,4,5,1,0,0,0,0,0.0000,21.951
F5A, 2017.04.18,A,2,S, habituation,control, nm,1,0,0,4,0,0,0,0,0,0,6.5770,124.66
F5A, 2017.04.18,A,2,S, habituation,control, nf,0,0,1,5,0,0,0,0,0,0,4.6600,124.66
F5A, 2017.04.21,A,2,S,experiment,control, m,44,0,3,1,0,0,0,0,0,0,0.3360,120.336
F5A, 2017.04.21,A,2,S,experiment,control, f,40,0,1,1,0,0,0,0,0,0,0.3360,120.336
F5A, 2017.04.18,B,2,S, habituation,control, nm,21,0,0,1,0,0,0,0,0,0,6.0300,122.056
F5A, 2017.04.18,B,2,S, habituation,control, nf,22,0,0,1,0,0,0,0,0,0,3.5920,122.056
F5A, 2017.04.21,B,2,S,experiment,control, m,35,0,1,0,0,0,0,0,0,0,2.2090,121.153
F5A, 2017.04.21,B,2,S,experiment,control, f,32,0,1,0,0,0,0,0,0,0,1.1530,121.153
F5B, 2017.04.18,C,2,S, habituation,control, m,45,0,0,0,0,0,0,0,0,1,1.5880,120.0000
F5B, 2017.04.18,C,2,S, habituation,control, f,50,0,0,0,0,0,0,0,0,0,0.0000,120.0000
F5B, 2017.04.21,C,2,S,experiment,control, nm,33,0,0,0,0,0,0,0,0,0,1.3780,121.378
F5B, 2017.04.21,C,2,S,experiment,control, nf,20,0,0,2,0,0,0,0,0,0,4.8280,121.378
F5B, 2017.04.18,D,2,S, habituation,control, m,59,0,1,1,0,0,0,0,0,0,0.0000,120.0000
F5B, 2017.04.18,D,2,S, habituation,control, f,41,0,0,0,0,0,3,0,0,0,0.0000,120.0000
F5B, 2017.04.21,D,2,S,experiment,control, nm,8,0,0,0,0,0,0,0,0,0,20.8910,120.0000
F5B, 2017.04.21,D,2,S,experiment,control, nf,7,0,1,0,0,0,0,0,0,0,13.5810,120.0000
F6A, 2017.04.18,A,3,F, habituation,control, m,30,3,1,3,1,0,0,0,0,0,4.7510,28.256
F6A, 2017.04.18,A,3,F, habituation,control, f,25,3,2,3,2,1,0,0,0,0,1.5580,51.239
F6A, 2017.04.21,A,3,F,experiment,control, nm,0,0,0,2,0,0,0,0,0,0,17.9650,121.835
F6A, 2017.04.21,A,3,F,experiment,control, nf,0,0,0,1,0,0,0,0,0,0,83.6760,121.835
F6A, 2017.04.18,B,3,F, habituation,control, m,36,0,0,1,0,0,0,0,0,0,1.8370,120.486
F6A, 2017.04.18,B,3,F, habituation,control, f,45,0,0,7,0,0,1,0,0,0,0.4860,120.486
F6A, 2017.04.21,B,3,F,experiment,control, nm,6,0,0,3,0,0,0,0,0,0,6.2500,120.711
F6A, 2017.04.21,B,3,F,experiment,control, nf,5,0,0,6,0,0,0,0,0,0,3.5990,120.711
F6B, 2017.04.18,C,3,F, habituation,control, nm,8,1,0,2,0,0,1,0,0,0,1.7330,120.573
F6B, 2017.04.18,C,3,F, habituation,control, nf,17,0,0,4,0,0,1,0,0,0,2.1140,120.573
F6B, 2017.04.21,C,3,F,experiment,control, m,29,0,1,1,0,1,0,0,0,0,0.3160,120.316
F6B, 2017.04.21,C,3,F,experiment,control, f,27,0,1,4,0,1,0,0,0,0,0.3160,120.316
F6B, 2017.04.18,D,3,F, habituation,control, nm,0,0,0,0,0,1,0,0,0,0,123.6320,123.632
F6B, 2017.04.18,D,3,F, habituation,control, nf,1,3,0,1,1,0,0,0,0,0,53.3430,11.573
F6B, 2017.04.21,D,3,F,experiment,control, m,43,0,0,0,0,0,1,0,0,0,0.0020,120.002
F6B, 2017.04.21,D,3,F,experiment,control, f,33,0,1,1,0,0,5,0,0,0,0.0020,120.002
F6A, 2017.04.18,A,4,S, habituation,control, nm,1,0,1,0,1,0,0,0,0,0,74.0290,61.264
