,int_pos,pair_id,status,cond,subject,app_int,app_n,app_p,fsp_int,fsp_n,fsp_p,sb_int,sb_n,sb_p,mwr_p,l_int,l_n
0,AD,1,S,control,f,1.0,-1.0,-3.0,-4.0,-5.0,-1.0,0.0,0.0,0.0,0.0,19.575,102.709
1,AD,3,F,control,f,-8.0,3.0,1.0,2.0,2.0,1.0,-5.0,0.0,0.0,0.0,1.556,-68.763
2,A,5,F,treatment,f,1.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,1.0,76.186,-28.780999999999977
3,A,7,F,treatment,f,-18.0,0.0,4.0,0.0,-6.0,-1.0,0.0,0.0,0.0,0.0,-2.44,79.369
4,AD,9,S,control,f,-18.0,-1.0,-4.0,-1.0,-4.0,0.0,0.0,0.0,0.0,0.0,26.718999999999998,84.767
5,AD,11,F,control,f,-4.0,0.0,5.0,-4.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,29.575,45.863
6,AD,13,S,control,f,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.1320000000000014,7.724000000000004
7,AD,15,F,control,f,17.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-9.227999999999998,-3.815999999999974
8,A,17,F,treatment,f,36.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.188,-63.18799999999999
9,A,19,F,treatment,f,-46.0,-1.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,81.248,131.643
10,A,21,S,treatment,f,17.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,7.843999999999998,5.546999999999997
11,A,23,S,treatment,f,10.0,0.0,-8.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3660000000000001,-0.36599999999998545
12,AD,25,S,control,f,-1.0,-17.0,6.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,62.82599999999999,113.75299999999999
13,AD,27,F,control,f,2.0,-2.0,8.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.712,48.65100000000001
14,AD,29,F,control,f,-6.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,14.890999999999998,-42.31500000000001
15,A,31,S,treatment,f,-31.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,165.082,45.08200000000001
16,A,33,S,treatment,f,11.0,-1.0,0.0,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.5249999999999995,75.833
17,A,35,S,treatment,f,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.89099999999999,16.936000000000007
18,A,37,S,treatment,f,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.981,56.980999999999995
19,AD,39,S,control,f,3.0,0.0,0.0,-4.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.9459999999999997,104.33300000000001
20,AD,41,F,control,f,-12.0,-3.0,0.0,2.0,-1.0,0.0,0.0,0.0,-1.0,0.0,43.903,89.142
21,AD,43,S,control,f,-17.0,0.0,1.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,14.712,16.73999999999998
22,AD,45,F,control,f,-11.0,0.0,1.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,24.145999999999997,7.699999999999989
23,A,47,S,treatment,f,-9.0,1.0,0.0,-1.0,1.0,1.0,-4.0,0.0,0.0,0.0,-2.7880000000000003,-56.78499999999998
