pairid,gender,status,phase,app_neighbour,app_partner,fspr_neighbour,fspr_partner,cavity_neighbour,ST_neighbour,hd_neighbour,hd_partner,bars_neighbour,bars_partner,freeze_neighbour,sbend_neighbour,sbend_partner,l_partner,l_neighbour
13,female,S,control,-35,0,-1,0,-5,-3,0,0,0,0,-13.185,0,0,-3.155000000000001,111.14699999999999
25,female,S,control,-83,0,1,-1,0,0,0,0,-1,0,0,-2,0,34.400000000000006,127.83600000000001
79,female,F,control,-25,2,-3,6,5,-11,1,0,0,0,0,0,0,48.303,0.8499999999999996
55,female,F,control,-34,0,-11,0,3,22,0,0,0,0,-2.187,-3,0,5.233999999999995,45.193000000000005
39,female,F,control,-32,0,2,0,1,6,0,0,0,0,-12.217,-11,0,53.04599999999999,53.046
26,female,F,control,-96,-1,-2,-1,0,0,0,0,0,0,-1.423,-8,0,125.64,154.4
14,female,F,control,-9,0,-8,0,12,11,0,0,0,0,-10.245,0,0,-3.155000000000001,61.657999999999994
56,female,S,control,-47,0,-13,0,45,32,1,0,0,0,-11.509,2,0,5.233999999999995,12.542
80,female,S,control,-30,5,-2,3,-2,2,0,0,0,0,-3.254,0,0,-96.664,14.056
40,female,S,control,-48,-1,-6,0,27,30,0,0,0,0,0,-18,0,53.04599999999999,41.691
79,male,F,control,-22,0,-10,2,1,0,0,0,0,0,0,-4,0,-49.069,69.521
13,male,S,control,-26,0,2,0,-3,-2,0,0,0,0,-17.325,0,0,-3.155000000000001,112.45599999999999
25,male,S,control,-98,0,2,0,1,0,0,0,-1,0,-5.066,0,0,34.400000000000006,34.4
55,male,F,control,-26,0,-5,0,1,11,0,0,2,0,-2.187,-6,0,5.233999999999995,27.741
39,male,F,control,-8,0,-2,0,0,8,0,0,0,0,-7.371,-4,0,53.04599999999999,53.046
26,male,F,control,-77,0,1,0,-1,0,0,0,0,0,-1.423,-10,0,34.400000000000006,68.68
14,male,F,control,-14,0,-9,0,-1,0,0,0,0,0,-2.264,0,0,-3.155000000000001,-3.1550000000000002
56,male,S,control,-62,0,-3,-1,44,39,0,0,0,0,-11.509,-3,0,5.233999999999995,5.234
80,male,S,control,14,0,-2,0,0,0,-1,0,0,0,-2.153,-6,0,6.2890000000000015,6.289
40,male,S,control,-40,-2,-5,0,18,19,1,0,0,0,-8.446,-1,0,53.04599999999999,53.836999999999996
15,female,F,control,-25,0,-1,-1,1,12,2,0,0,0,0,-10,0,95.00299999999999,22.448
57,female,S,control,12,-13,-3,-3,0,0,-1,0,0,0,-0.003,1,0,3.242999999999995,3.243
41,female,S,control,-1,-1,0,0,4,4,1,0,0,0,0,-15,0,26.357,-21.403
58,female,F,control,-20,-11,1,-3,3,0,3,0,0,0,0,0,0,33.535,-58.85
16,female,S,control,-16,-1,-1,-1,3,3,0,0,0,0,0,-3,0,46.658,-45.709
42,female,F,control,-16,1,-1,0,0,11,3,0,0,0,-13.314,1,0,1.078000000000003,11.0
57,male,S,control,8,-2,2,-1,0,0,3,0,1,0,-12.653,0,0,3.242999999999995,4.69
15,male,F,control,-11,-1,-7,1,-2,7,3,0,2,0,0,-12,0,-81.602,16.022
41,male,S,control,-62,-1,-8,0,12,16,0,0,0,0,0,-15,0,6.870999999999995,-7.944000000000001
58,male,F,control,1,0,4,-1,3,1,3,0,1,0,-497.629,0,0,3.242999999999995,13.348
16,male,S,control,-36,-1,-7,1,1,2,0,0,0,0,0,-2,0,47.25099999999999,101.647
42,male,F,control,35,0,-6,1,0,7,1,0,0,0,-23.454,-3,0,6.870999999999995,6.871
1,female,S,control,-12,0,-25,0,7,4,0,0,0,0,-10.036,0,0,77.863,52.737
27,female,F,control,-42,3,-5,-1,19,35,-3,0,0,0,-86.78,-3,0,-66.653,15.676
9,female,S,control,5,0,0,0,-4,1,0,0,0,0,0,0,0,2.7150000000000034,2.7150000000000034
43,female,F,control,-13,0,-3,0,2,-3,0,0,0,0,-42.125,-1,0,38.31200000000001,78.352
67,female,F,control,2,0,0,-1,-5,4,0,0,0,0,0,0,0,-3.6370000000000005,1.7730000000000006
59,female,F,control,-3,-2,-4,-2,-2,0,0,0,0,0,-50.044,0,0,44.97200000000001,22.011000000000003
44,female,S,control,-13,-1,-2,0,-4,33,0,0,0,0,-31.953,-1,0,-53.102000000000004,38.312
68,female,S,control,1,-1,3,0,-40,-25,0,0,0,0,0,0,0,-3.6370000000000005,-38.379
60,female,S,control,-12,0,3,0,-8,3,-1,0,0,0,-14.059,-2,0,4.588000000000008,41.528999999999996
28,female,S,control,-54,-7,-12,-4,-2,8,-1,0,0,0,-6.459,-4,0,71.34100000000001,3.3470000000000004
2,female,F,control,-45,0,-16,-1,34,35,0,0,0,0,-7.94,-1,0,1.9240000000000066,1.924000000000001
10,female,F,control,15,-2,3,0,-1,-12,0,0,0,0,-3.565,0,0,2.7150000000000034,3.269000000000001
43,male,F,control,-67,2,-1,-3,2,4,0,0,-1,0,-35.521,0,0,-75.455,84.266
9,male,S,control,1,0,5,0,0,0,1,0,0,0,0,0,0,2.7150000000000034,113.5
27,male,F,control,-88,-2,-4,0,-1,8,0,0,0,3,-25.103,-3,0,-34.348,3.9749999999999996
1,male,S,control,-41,1,-21,2,9,3,0,0,0,0,-6.665,0,0,1.9240000000000066,52.737
67,male,F,control,7,-1,-2,-2,0,0,0,0,0,0,0,0,0,21.065000000000012,-57.534
59,male,F,control,15,0,-9,-3,-1,0,0,0,0,0,-4.94,0,0,4.588000000000008,4.588
44,male,S,control,-12,0,-8,1,2,21,0,0,0,0,-34.626,0,0,-29.700000000000003,137.582
68,male,S,control,1,1,1,0,0,2,0,0,0,0,0,0,0,-3.6370000000000005,-3.6370000000000005
28,male,S,control,-34,1,-6,0,-1,4,-1,0,0,0,-54.346,-1,0,65.714,5.319
60,male,S,control,5,1,-5,0,-1,0,0,0,0,0,-5.57,0,0,-20.24499999999999,22.011000000000003
2,male,F,control,-61,0,-10,0,14,14,2,0,0,0,-7.94,-1,0,1.9240000000000066,51.646
10,male,F,control,31,1,-1,0,0,2,0,0,2,0,-10.749,0,0,2.7150000000000034,2.7150000000000007
29,female,S,control,-5,-14,-1,-1,12,20,0,0,0,0,-14.507,0,0,162.173,226.59400000000002
69,female,S,control,0,0,0,0,14,18,0,0,0,0,-237.48,0,0,34.30300000000001,34.303
61,female,S,control,-16,0,-5,0,-1,0,0,0,0,0,-38.273,-3,0,18.704000000000008,114.789
45,female,S,control,-15,-3,-6,0,0,5,0,0,0,0,-42.997,-4,0,-94.473,31.79
11,female,F,control,0,-22,-2,-2,19,19,0,0,0,0,-24.765,0,0,114.991,19.756
3,female,F,control,-25,0,-9,1,-6,1,-7,0,2,0,-12.578,0,0,4.173999999999992,4.174000000000002
30,female,F,control,0,-1,-1,0,-4,1,0,0,0,0,-226.624,0,0,-34.23400000000001,154.11800000000002
70,female,F,control,4,0,1,0,0,3,0,0,0,0,0,0,0,106.77900000000001,226.77900000000002
46,female,F,control,-24,-8,-3,-5,4,4,0,0,0,0,-22.049,0,0,123.47799999999998,145.527
4,female,S,control,-29,-1,-5,0,-4,-17,0,0,1,0,0,-2,0,123.062,-2.4510000000000005
62,female,F,control,-9,-2,-4,-2,-2,7,0,0,0,0,-99.634,-6,0,18.704000000000008,18.704
12,female,S,control,33,-1,-7,0,0,9,0,0,0,0,-99.047,0,0,33.518,22.243000000000002
61,male,S,control,-11,-2,0,-1,-2,2,0,0,0,0,-3.471,-2,0,18.704000000000008,55.022999999999996
29,male,S,control,-12,-3,-4,-1,8,13,0,0,0,0,-11.306,0,0,34.11800000000001,60.793
69,male,S,control,6,0,0,2,2,-1,0,0,0,0,-15.438,0,0,106.77900000000001,106.779
45,male,S,control,19,0,-2,0,0,0,0,0,0,0,-6.616,0,0,25.526999999999987,34.657
11,male,F,control,-22,0,-2,-3,0,0,0,0,0,0,-39.889,0,0,19.756,27.912
3,male,F,control,-26,0,-20,0,-3,-3,-2,0,2,0,-3.886,0,0,4.173999999999992,23.615000000000002
30,male,F,control,0,0,-15,0,0,0,0,0,0,-1,-45.937,0,0,106.436,154.11800000000002
