status,cond,pair_id,subject,app_neighbour,app_partner,fspr_neighbour,fspr_partner,cavity_neighbour,ST_neighbour,hd_neighbour,hd_partner,bars_neighbour,bars_partner,freeze_neighbour,sbend_neighbour,sbend_partner,l_partner,l_neighbour
F,control,2,female,-45.0,0.0,-16.0,-1.0,34.0,35.0,0.0,0.0,0.0,0.0,-7.94,-1.0,0.0,1.9240000000000066,1.924000000000001
F,control,2,male,-61.0,0.0,-10.0,0.0,14.0,14.0,2.0,0.0,0.0,0.0,-7.94,-1.0,0.0,1.9240000000000066,51.646
F,control,3,female,-25.0,0.0,-9.0,1.0,-6.0,1.0,-7.0,0.0,2.0,0.0,-12.578,0.0,0.0,4.173999999999992,4.174000000000002
F,control,3,male,-26.0,0.0,-20.0,0.0,-3.0,-3.0,-2.0,0.0,2.0,0.0,-3.886,0.0,0.0,4.173999999999992,23.615000000000002
F,control,10,female,15.0,-2.0,3.0,0.0,-1.0,-12.0,0.0,0.0,0.0,0.0,-3.565,0.0,0.0,2.7150000000000034,3.269000000000001
F,control,10,male,31.0,1.0,-1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,-10.749,0.0,0.0,2.7150000000000034,2.7150000000000007
F,control,11,female,0.0,-22.0,-2.0,-2.0,19.0,19.0,0.0,0.0,0.0,0.0,-24.765,0.0,0.0,114.991,19.756
F,control,11,male,-22.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.889,0.0,0.0,19.756,27.912
F,control,14,female,-9.0,0.0,-8.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,-10.245,0.0,0.0,-3.155000000000001,61.657999999999994
F,control,14,male,-14.0,0.0,-9.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.264,0.0,0.0,-3.155000000000001,-3.1550000000000002
F,control,15,female,-25.0,0.0,-1.0,-1.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,-10.0,0.0,95.00299999999999,22.448
F,control,15,male,-11.0,-1.0,-7.0,1.0,-2.0,7.0,3.0,0.0,2.0,0.0,0.0,-12.0,0.0,-81.602,16.022
F,control,26,female,-96.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.423,-8.0,0.0,125.64,154.4
F,control,26,male,-77.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.423,-10.0,0.0,34.400000000000006,68.68
F,control,27,female,-42.0,3.0,-5.0,-1.0,19.0,35.0,-3.0,0.0,0.0,0.0,-86.78,-3.0,0.0,-66.653,15.676
F,control,27,male,-88.0,-2.0,-4.0,0.0,-1.0,8.0,0.0,0.0,0.0,3.0,-25.103,-3.0,0.0,-34.348,3.9749999999999996
F,control,30,female,0.0,-1.0,-1.0,0.0,-4.0,1.0,0.0,0.0,0.0,0.0,-226.624,0.0,0.0,-34.23400000000001,154.11800000000002
F,control,30,male,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-45.937,0.0,0.0,106.436,154.11800000000002
F,control,39,female,-32.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,-12.217,-11.0,0.0,53.04599999999999,53.046
F,control,39,male,-8.0,0.0,-2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-7.371,-4.0,0.0,53.04599999999999,53.046
F,control,42,female,-16.0,1.0,-1.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,-13.314,1.0,0.0,1.078000000000003,11.0
F,control,42,male,35.0,0.0,-6.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,-23.454,-3.0,0.0,6.870999999999995,6.871
F,control,43,female,-13.0,0.0,-3.0,0.0,2.0,-3.0,0.0,0.0,0.0,0.0,-42.125,-1.0,0.0,38.31200000000001,78.352
F,control,43,male,-67.0,2.0,-1.0,-3.0,2.0,4.0,0.0,0.0,-1.0,0.0,-35.521,0.0,0.0,-75.455,84.266
