,int_pos,pair_id,status,cond,subject,app_int,app_n,app_p,fsp_int,fsp_n,fsp_p,sb_int,sb_n,sb_p,mwr_p,l_int,l_n
0,AD,1,S,control,f,1.0,-1.0,-3.0,-4.0,-5.0,-1.0,0.0,0.0,0.0,0.0,19.575,102.709
1,AD,3,F,control,f,-8.0,3.0,1.0,2.0,2.0,1.0,-5.0,0.0,0.0,0.0,1.556,-68.763
2,AD,5,F,treatment,f,-11.0,0.0,-16.0,-2.0,-2.0,-4.0,0.0,0.0,0.0,1.0,110.393,53.949
3,AD,7,F,treatment,f,-4.0,0.0,2.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,-85.632,23.845
4,AD,9,S,control,f,-18.0,-1.0,-4.0,-1.0,-4.0,0.0,0.0,0.0,0.0,0.0,26.718999999999998,84.767
5,AD,11,F,control,f,-4.0,0.0,5.0,-4.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,29.575,45.863
6,AD,13,S,control,f,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.1320000000000014,7.724000000000004
7,AD,15,F,control,f,17.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-9.227999999999998,-3.8160000000000025
8,AD,17,F,treatment,f,10.0,-2.0,-2.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,-1.262,74.602
9,AD,19,F,treatment,f,-38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.985,79.985
10,AD,21,S,treatment,f,-11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.934999999999999,-58.094999999999985
11,AD,23,S,treatment,f,-8.0,0.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.6340000000000003,26.584000000000003
12,AD,25,S,control,f,-1.0,-17.0,6.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,62.82599999999999,113.753
13,AD,27,F,control,f,2.0,-2.0,8.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.712,48.65100000000001
14,AD,29,F,control,f,-6.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,14.890999999999998,-42.315
15,AD,31,S,treatment,f,-8.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,165.634,77.491
16,AD,33,S,treatment,f,-18.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.4849999999999994,-24.590000000000003
17,AD,35,S,treatment,f,13.0,0.0,-1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,16.408,15.235000000000014
18,AD,37,S,treatment,f,-18.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,125.22899999999998,20.044999999999987
19,AD,39,S,control,f,3.0,0.0,0.0,-4.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.9459999999999997,104.333
20,AD,41,F,control,f,-12.0,-3.0,0.0,2.0,-1.0,0.0,0.0,0.0,-1.0,0.0,43.903,89.142
21,AD,43,S,control,f,-17.0,0.0,1.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,14.712,16.739999999999995
22,AD,45,F,control,f,-11.0,0.0,1.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,24.145999999999997,7.699999999999989
23,AD,47,S,treatment,f,19.0,1.0,2.0,-3.0,1.0,2.0,0.0,0.0,0.0,0.0,-7.322000000000001,-57.16799999999999
24,AD,49,S,treatment,f,-43.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,6.130000000000001,6.13000000000001
